config_hash,dataset_id,dataset_revision,device,evaluation_protocol,history,label_mapping,merged_unmerged_max_abs_error,method,model_id,model_revision,optimizer_updates,parameters,peak_allocated_gpu_memory,peak_reserved_gpu_memory,run_id,seed,status,study_group,task,track,training_seconds
12e4a429146ca1a6f9420f30541a4b3e87026569ddde40df8849cd7a9ba2aee7,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 366.2526444512903, 'loss': 0.639344709981729, 'skipped_updates': 0, 'training_seconds': 9.012904207000247, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 368.1073811887555, 'loss': 0.6293018405431696, 'skipped_updates': 0, 'training_seconds': 8.967492010999194, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 366.0712921540848, 'loss': 0.6276975470362794, 'skipped_updates': 0, 'training_seconds': 9.01736921400152, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",5.960464477539063e-08,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124794626, 'trainable': 739586, 'trainable_fraction': 0.005926425068976928}",973403648,2873098240,custom_lora-1-12e4a429,1,completed,ablation,mrpc,practical,37.99665085500055
2943d3fbff62a06a97bfd0c7ec9dda929ca44325906c536cc65463a8afdb7879,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 369.8665742658902, 'loss': 0.6393692422721345, 'skipped_updates': 0, 'training_seconds': 8.924840009000036, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 376.2688968956871, 'loss': 0.6292290713538846, 'skipped_updates': 0, 'training_seconds': 8.772981309999523, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 373.5265094064105, 'loss': 0.6276034966796709, 'skipped_updates': 0, 'training_seconds': 8.837391502000173, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",1.1920928955078125e-07,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124684034, 'trainable': 628994, 'trainable_fraction': 0.00504470363863909}",971560960,2873098240,custom_lora-1-2943d3fb,1,completed,ablation,mrpc,practical,36.641020584000216
4563158fb7249f421850e7daa6d36a5c4a43c9a52bb4956078efb9828b7585e6,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 390.75326062761087, 'loss': 0.6405970982431499, 'skipped_updates': 0, 'training_seconds': 8.447786193000866, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 392.9665915186532, 'loss': 0.6325149794467714, 'skipped_updates': 0, 'training_seconds': 8.400205186000676, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 390.7088720997585, 'loss': 0.6265346573138064, 'skipped_updates': 0, 'training_seconds': 8.44874594799876, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",8.940696716308594e-08,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124794626, 'trainable': 739586, 'trainable_fraction': 0.005926425068976928}",951813632,2873098240,custom_lora-1-4563158f,1,completed,ablation,mrpc,practical,39.82859072899919
8e82a9d7e327521cfdee2f98322067927870d559abc3a1ef0bc51ca4b64fc271,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 391.27579247517497, 'loss': 0.6401138416791367, 'skipped_updates': 0, 'training_seconds': 8.436504540999522, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 392.30008644976607, 'loss': 0.6308036896853413, 'skipped_updates': 0, 'training_seconds': 8.414476861000367, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 390.3078275943678, 'loss': 0.6098713503189872, 'skipped_updates': 0, 'training_seconds': 8.45742710400009, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",1.1920928955078125e-07,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124794626, 'trainable': 739586, 'trainable_fraction': 0.005926425068976928}",953372672,2873098240,custom_lora-1-8e82a9d7,1,completed,ablation,mrpc,practical,35.518139132000215
9500d573354898f4d952f34da4cac39cf31e706758023ab99aefe3aa7eb2fed4,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 365.33396786976203, 'loss': 0.6392046099136297, 'skipped_updates': 0, 'training_seconds': 9.035568248000345, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 368.1057631639047, 'loss': 0.6284297915405569, 'skipped_updates': 0, 'training_seconds': 8.967531427999347, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 366.18684152449805, 'loss': 0.6235900731265689, 'skipped_updates': 0, 'training_seconds': 9.014523804999044, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",1.4901161193847656e-07,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124794626, 'trainable': 739586, 'trainable_fraction': 0.005926425068976928}",973403648,2873098240,custom_lora-1-9500d573,1,completed,ablation,mrpc,practical,37.760194440001214
9ba6871cb6a5292634e71889d839b0219eac61b6ce8d11bde033ab014c4e7b45,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 369.78157982375984, 'loss': 0.6386202684903549, 'skipped_updates': 0, 'training_seconds': 8.926891387000069, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 371.09711911240294, 'loss': 0.6221851117674433, 'skipped_updates': 0, 'training_seconds': 8.895245556999726, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 368.6181048128915, 'loss': 0.5758138291772283, 'skipped_updates': 0, 'training_seconds': 8.955067471999428, 'tuning_accuracy': 0.7166212534059946, 'tuning_f1': 0.8225255972696246}, {'accuracy': 0.7107843137254902, 'f1': 0.822289156626506, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",1.0728836059570312e-06,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 125236994, 'trainable': 1181954, 'trainable_fraction': 0.009437738500813905}",981771776,2873098240,custom_lora-1-9ba6871c,1,completed,ablation,mrpc,practical,42.116586375001134
c009259c2b4890d152199250a5fcd4fc1bf0a846ee98dae148164709ed288794,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 365.9347454836307, 'loss': 0.6393126702481841, 'skipped_updates': 0, 'training_seconds': 9.020733999001095, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 367.8442379641112, 'loss': 0.6291715534489611, 'skipped_updates': 0, 'training_seconds': 8.973907048999536, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 366.2236863048014, 'loss': 0.6269841598252118, 'skipped_updates': 0, 'training_seconds': 9.013616877999084, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",1.7881393432617188e-07,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124720898, 'trainable': 665858, 'trainable_fraction': 0.005338784523504634}",972113920,2873098240,custom_lora-1-c009259c,1,completed,ablation,mrpc,practical,37.59701212800064
da1bd3f5127d7a9944013a5b3484edb194b0b4e7065d82a6ab76c27be963b04f,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 367.11415574948427, 'loss': 0.6388976311279555, 'skipped_updates': 0, 'training_seconds': 8.991753514001175, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 368.4668789570511, 'loss': 0.6273299172773199, 'skipped_updates': 0, 'training_seconds': 8.95874280299904, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 366.44829637837364, 'loss': 0.6138329309643614, 'skipped_updates': 0, 'training_seconds': 9.008092089999991, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",5.960464477539063e-08,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124794626, 'trainable': 739586, 'trainable_fraction': 0.005926425068976928}",973403648,2873098240,custom_lora-1-da1bd3f5,1,completed,ablation,mrpc,practical,41.865993616000196
ef495409531794da1f01a62c8ac8152e9c26ca9dd9c679993265d2b54aeea774,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 369.58052987501014, 'loss': 0.6390371992282082, 'skipped_updates': 0, 'training_seconds': 8.93174757099996, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 371.55989858086997, 'loss': 0.6277492125732846, 'skipped_updates': 0, 'training_seconds': 8.884166490000098, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 368.4436898215281, 'loss': 0.6142957341151434, 'skipped_updates': 0, 'training_seconds': 8.9593066489997, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",8.940696716308594e-08,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124942082, 'trainable': 887042, 'trainable_fraction': 0.007099625568909601}",976193024,2873098240,custom_lora-1-ef495409,1,completed,core,mrpc,practical,36.185686979000366
2e441a6971d290914d1d9c9a25890c41f424b7222c22defe82d6108c334ddd21,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 368.5336261014664, 'loss': 0.6429784446593925, 'skipped_updates': 0, 'training_seconds': 8.957120236000264, 'tuning_accuracy': 0.6757493188010899, 'tuning_f1': 0.8065040650406504}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 368.85581690014527, 'loss': 0.6257521659496621, 'skipped_updates': 0, 'training_seconds': 8.949296307000168, 'tuning_accuracy': 0.6757493188010899, 'tuning_f1': 0.8065040650406504}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 368.7377288543692, 'loss': 0.5922855257122049, 'skipped_updates': 0, 'training_seconds': 8.952162313999906, 'tuning_accuracy': 0.7057220708446866, 'tuning_f1': 0.8175675675675675}, {'accuracy': 0.7009803921568627, 'f1': 0.8189910979228486, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",2.5510787963867188e-05,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124942082, 'trainable': 887042, 'trainable_fraction': 0.007099625568909601}",985908736,2873098240,custom_lora-2-2e441a69,2,completed,core,mrpc,practical,37.16812945599986
